code,long_description,short_description
G9643,Elective surgery,Elective surgery
A4556,"Electrodes, (e.g., apnea monitor), per pair","Electrodes, pair"
L3702,"Elbow orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",Eo w/o joints cf
Q4145,"Epifix, injectable, 1 mg","Epifix, inj, 1mg"
C9724,Endoscopic full-thickness plication of the stomach using endoscopic plication system (eps); includes endoscopy,Eps stomach plic
L5980,"All lower extremity prostheses, flex foot system",Flex foot system
S0175,"Flutamide, oral, 125 mg",Flutamide 125 mg
C9459,"Flutemetamol f18, diagnostic, per study dose, up to 5 millicuries",Flutemetamol f18
L3933,"Finger orthosis, without joints, may include soft interface, custom fabricated, includes fitting and adjustment",Fo w/o joints cf
E2389,"Power wheelchair accessory, foam caster tire, any size, replacement only, each",Foam caster tire
S9379,"Home infusion therapy, infusion therapy, not otherwise classified; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem",Hit noc per diem
L3919,"Hand orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",Ho w/o joints cf
C9139,"Injection, factor ix, albumin fusion protein (recombinant), idelvion, 1 i.u.","Idelvion, 1 i.u."
J1750,"Injection, iron dextran, 50 mg",Inj iron dextran
G8547,I intend to report the ischemic vascular disease (ivd) measures group,Ivd measures grp
Q9984,"Levonorgestrel-releasing intrauterine contraceptive system (kyleena), 19.5 mg","Kyleena, 19.5 mg"
J7296,"Levonorgestrel-releasing intrauterine contraceptive system, (kyleena), 19.5 mg","Kyleena, 19.5 mg"
G9272,Ldl value >= 100,Ldl 100 and over
G8737,Most current ldl-c >=100mg/dl,Ldl-c >=100mg/dl
A4557,"Lead wires, (e.g., apnea monitor), per pair","Lead wires, pair"
FA   ,"Left hand, thumb","Left hand, thumb"
S0177,"Levamisole hydrochloride, oral, 50 mg",Levamisole 50 mg
G8593,"Lipid profile results documented and reviewed (must include total cholesterol, hdl-c, triglycerides and calculated ldl-c)",Lipid pn results
S9976,"Lodging, per diem, not otherwise classified",Lodging per diem
L0972,"Lso, corset front",Lso corset front
G8740,"Left ventricular ejection fraction (lvef) not performed or assessed, reason not given",Lvef not perfrmd
G9151,Mapcp demonstration - state provided services,Mapcp demo state
S3904,Masters two step,Masters two step
S0139,"Minoxidil, 10 mg","Minoxidil, 10 mg"
L8040,"Nasal prosthesis, provided by a non-physician",Nasal prosthesis
G9213,"Dsm-iv-tr criteria for major depressive disorder not documented at the initial evaluation, reason not otherwise specified",No doc of dsm-iv
G9248,Patient did not have a medical visit in the last 6 months,No med visit 6mo
G9382,Patient not offered assistance with end of life issues during the measurement period,No off assis eol
L2320,"Addition to lower extremity, non-molded lacer, for custom fabricated orthosis only",Non-molded lacer
Q4194,"Novachor, per square centimeter",Novachor 1 sq cm
Q1004,New technology intraocular lens category 4 as defined in federal register notice,Ntiol category 4
Q1005,New technology intraocular lens category 5 as defined in federal register notice,Ntiol category 5
J9301,"Injection, obinutuzumab, 10 mg",Obinutuzumab inj
V2770,"Occluder lens, per lens",Occluder lens/es
S0119,"Ondansetron, oral, 4 mg (for circumstances falling under the medicare statute, use hcpcs q code)",Ondansetron 4 mg
Q0162,"Ondansetron 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Ondansetron oral
G9238,I intend to report the optimizing patient exposure to ionizing radiation measures group,Op rad mg intent
A4404,"Ostomy ring, each",Ostomy ring each
V2780,"Oversize lens, per lens",Oversize lens/es
A9563,"Sodium phosphate p-32, therapeutic, per millicurie",P32 na phosphate
G8731,"Pain assessment using a standardized tool is documented as negative, no follow-up plan required",Pain neg no plan
J2469,"Injection, palonosetron hcl, 25 mcg",Palonosetron hcl
G9596,Pediatric patient had a head ct for trauma ordered by someone other than an emergency care provider or was ordered for a reason other than trauma,Ped pt hd ct ord
G9357,"Post-partum screenings, evaluations and education performed",Pp eval/edu perf
G9304,"Operative report identifies the prosthetic implant specifications including the prosthetic implant manufacturer, the brand name of the prosthetic implant and the size of each prosthetic implant",Pros info op rpt
G9857,Patient admitted to hospice,Pt admit hospice
G9842,Patient has metastatic disease at diagnosis,Pt met dis at dx
G9838,Patient has metastatic disease at diagnosis,Pt met dis at dx
G9834,Patient has metastatic disease at diagnosis,Pt met dis at dx
G9646,Patients with 90 day mrs score of 0 to 2,Pt w/90d mrs 0-2
E1003,"Wheelchair accessory, power seating system, recline only, without shear reduction",Pwr seat recline
G8856,Referral to a physician for an otologic evaluation performed,Ref for oto eval
G9524,Patient was referred to hospice care,Refer to hospice
Q4192,"Restorigin, 1 cc","Restorigin, 1 cc"
E0700,"Safety equipment, device or accessory, any type",Safety equipment
L5699,"All lower extremity prostheses, shoulder harness",Shoulder harness
G9463,I intend to report the sinusitis measures group,Sinusitis intent
L0624,"Sacroiliac orthosis, provides pelvic-sacral support, with rigid or semi-rigid panels placed over the sacrum and abdomen, reduces motion about the sacroiliac joint, includes straps, closures, may include pendulous abdomen design, custom fabricated",Sio panel custom
S8101,Holding chamber or spacer for use with an inhaler or nebulizer; with mask,Spacer with mask
V5362,Speech screening,Speech screening
K0065,"Spoke protectors, each",Spoke protectors
E1816,"Static progressive stretch ankle device, flexion and/or extension, with or without range of motion adjustment, includes all components and accessories",Sps ankle device
E1801,"Static progressive stretch elbow device, extension and/or flexion, with or without range of motion adjustment, includes all components and accessories",Sps elbow device
E1806,"Static progressive stretch wrist device, flexion and/or extension, with or without range of motion adjustment, includes all components and accessories",Sps wrist device
S3601,Emergency stat laboratory charge for patient who is homebound or residing in a nursing facility,Stat lab home/nf
EJ   ,"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab",Subsequent claim
C9358,"Dermal substitute, native, non-denatured collagen, fetal bovine origin (surgimend collagen matrix), per 0.5 square centimeters","Surgimend, fetal"
A9536,"Technetium tc-99m depreotide, diagnostic, per study dose, up to 35 millicuries",Tc99m depreotide
A9550,"Technetium tc-99m sodium gluceptate, diagnostic, per study dose, up to 25 millicurie",Tc99m gluceptate
A9537,"Technetium tc-99m mebrofenin, diagnostic, per study dose, up to 15 millicuries",Tc99m mebrofenin
A9562,"Technetium tc-99m mertiatide, diagnostic, per study dose, up to 15 millicuries",Tc99m mertiatide
A9561,"Technetium tc-99m oxidronate, diagnostic, per study dose, up to 30 millicuries",Tc99m oxidronate
L0974,"Tlso, full corset",Tlso full corset
S8189,"Tracheostomy supply, not otherwise classified",Trach supply noc
A6457,"Tubular dressing with or without elastic, any width, per linear yard",Tubular dressing
G0920,"Type, anatomic location, and activity all documented",Type loc act doc
C1880,Vena cava filter,Vena cava filter
G9173,"Voice functional limitation, discharge status at discharge from therapy or to end reporting",Voice d/c status
J7183,"Injection, von willebrand factor complex (human), wilate, 1 i.u. vwf:rco",Wilate injection
A6154,"Wound pouch, each",Wound pouch each
G9773,"At least 1 body temperature measurement equal to or greater than 35.5 degrees celsius (or 95.9 degrees fahrenheit) not achieved within the 30 minutes immediately before or the 15 minutes immediately after anesthesia end time, reason not given",1 bod temp >=35.5
G9873,First medicare diabetes prevention program (mdpp) core session was attended by an mdpp beneficiary under the mdpp expanded model (em).a core session is an mdpp service that: (1)is furnished by an mdpp supplier during months 1 through 6 of the mdpp services period; (2)is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for core sessions,1 em core session
G9366,One high-risk medication not ordered,1high risk no ord
J7060,5% dextrose/water (500 ml = 1 unit),5% dextrose/water
C9744,"Ultrasound, abdominal, with contrast",Abd us w/contrast
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenosine inj 1mg
G9480,Admission to medicare care choice model program (mccm),Admission to mccm
E0194,Air fluidized bed,Air fluidized bed
G9705,Ajcc breast cancer stage i: t1b (tumor > 0.5 cm but <= 1 cm in greatest dimension) documented,Ajcc br ca stg ib
A9280,"Alert or alarm device, not otherwise classified","Alert device, noc"
Q4141,"Alloskin ac, per square centimeter","Alloskin ac, 1 cm"
V2790,"Amniotic membrane for surgical reconstruction, per procedure",Amniotic membrane
L1250,"Addition to tlso, (low profile), anterior asis pad",Anterior asis pad
G9245,Antiretroviral therapy prescribed,Antiviral ordered
A5131,"Appliance cleaner, incontinence and ostomy appliances, per 16 oz.",Appliance cleaner
Q4189,"Artacent ac, 1 mg","Artacent ac, 1 mg"
L8609,Artificial cornea,Artificial cornea
L8500,"Artificial larynx, any type",Artificial larynx
A9155,"Artificial saliva, 30 ml",Artificial saliva
J9020,"Injection, asparaginase, not otherwise specified, 10,000 units","Asparaginase, nos"
G6055,Nicotine,Assay of nicotine
J7635,"Atropine, inhalation solution, compounded product, administered through dme, concentrated form, per milligram",Atropine comp con
G9166,"Attention functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting",Atten goal status
E2331,"Power wheelchair accessory, attendant control, proportional, including all related electronics and fixed mounting hardware",Attendant control
S9117,"Back school, per visit",Back school visit
TW   ,Back-up equipment,Back-up equipment
E0240,"Bath/shower chair, with or without wheels, any size",Bath/shower chair
P2038,"Mucoprotein, blood (seromucoid) (medical necessity procedure)",Blood mucoprotein
S0171,"Injection, bumetanide, 0.5 mg",Bumetanide 0.5 mg
G8544,I intend to report the coronary artery bypass graft (cabg) measures group,Cabg measures grp
G8985,"Carrying, moving and handling objects, projected goal status, at therapy episode outset, at reporting intervals, and at discharge or to end reporting",Carry goal status
C1887,"Catheter, guiding (may include infusion/perfusion capability)","Catheter, guiding"
Q4184,"Cellesta, per square centimeter","Cellesta, 1 sq cm"
J9999,"Not otherwise classified, antineoplastic drugs",Chemotherapy drug
S0172,"Chlorambucil, oral, 2 mg",Chlorambucil 2 mg
GB   ,Claim being re-submitted for payment because it is no longer covered under a global payment demonstration,Claim resubmitted
C1760,"Closure device, vascular (implantable/insertable)","Closure dev, vasc"
E0118,"Crutch substitute, lower leg platform, with or without wheels, each",Crutch substitute
Q4170,"Cygnus, per square centimeter","Cygnus, per sq cm"
J1645,"Injection, dalteparin sodium, per 2500 iu",Dalteparin sodium
D7140,,Dental Procedures
S0160,"Dextroamphetamine sulfate, 5 mg",Dextroamphetamine
G8755,Most recent diastolic blood pressure >= 90 mmhg,Dias bp > or = 90
S0137,"Didanosine (ddi), 25 mg","Didanosine, 25 mg"
J1160,"Injection, digoxin, up to 0.5 mg",Digoxin injection
G8968,"Documentation of medical reason(s) for not prescribing warfarin or another fda-approved anticoagulant (e.g., atrial appendage device in place)",Doc med not presb
G9254,Documentation of patient discharged to home later than post-operative day 2 following cas,Doc pt dischg >2d
G9781,"Documentation of medical reason(s) for not currently being a statin therapy user or receive an order (prescription) for statin therapy (e.g., patient with adverse effect, allergy or intolerance to statin medication therapy, patients who are receiving palliative care, patients with active liver disease or hepatic disease or insufficiency, and patients with end stage renal disease (esrd))",Doc rsn no statin
G6058,"Drug confirmation, each procedure",Drug confirmation
G8707,"12-lead electrocardiogram (ecg) not performed, reason not given",Ecg not performed
S2202,Echosclerotherapy,Echosclerotherapy
G9890,"Bridge payment: a one-time payment for the first medicare diabetes prevention program (mdpp) core session, core maintenance session, or ongoing maintenance session furnished by an mdpp supplier to an mdpp beneficiary during months 1-24 of the mdpp expanded model (em) who has previously received mdpp services from a different mdpp supplier under the mdpp expanded model.a supplier may only receive one bridge payment per mdpp beneficiary",Em bridge payment
Q4131,"Epifix or epicord, per square centimeter",Epifix or epicord
S0156,"Exemestane, 25 mg","Exemestane, 25 mg"
J7194,"Factor ix, complex, per i.u.",Factor ix complex
H1011,Family assessment by licensed behavioral health professional for state defined purposes,Family assessment
S0138,"Finasteride, 5 mg","Finasteride, 5 mg"
A9588,"Fluciclovine f-18, diagnostic, 1 millicurie",Fluciclovine f-18
TS   ,Follow-up service,Follow-up service
J1451,"Injection, fomepizole, 15 mg","Fomepizole, 15 mg"
Q9980,"Hyaluronan or derivative, genvisc 850, for intra-articular injection, 1 mg","Genvisc, inj, 1mg"
J0257,"Injection, alpha 1 proteinase inhibitor (human), (glassia), 10 mg",Glassia injection
